x_m,y_m,z_m,pressure_Pa,temperature_K
0.293002927,0.270364198,0.00150000001,366.654669,317.499713
0.28631866,0.286958243,0.00350000011,356.639301,319.327606
0.287224276,0.275144342,0.00150000001,362.750765,318.388445
0.292012338,0.270346684,0.00316611375,365.291722,317.280313
0.289527252,0.272846607,0.00350000011,363.318741,317.69241
0.288587215,0.273868463,0.00350000011,362.843605,317.817552
0.281748828,0.280244333,0.00350000011,361.290928,318.394408
0.285969268,0.28732528,0.00256920612,370.925045,319.518923
0.283428053,0.277943843,0.00350000011,360.025371,318.239388
0.282223044,0.278957324,0.00350000011,364.061546,318.320258
0.286775314,0.27487783,0.00150000001,363.6821,318.345043
0.28297734,0.278194908,0.00350000011,363.925116,318.263825
0.284350635,0.275880111,0.00350000011,362.223767,318.105549
0.281669852,0.278751981,0.00150000001,362.67959,318.783179
0.279103439,0.281168867,0.00150000001,364.563427,318.974843
0.280416952,0.283356634,0.00150000001,363.182376,319.147923
0.279810806,0.279796471,0.00150000001,364.719591,318.864021
0.286281309,0.273424413,0.00266656213,363.393254,317.895534
0.28604464,0.273555894,0.0031664092,363.413487,317.898231
0.279719207,0.283966481,0.00150000001,359.572814,319.183108
0.280830621,0.277657559,0.00150000001,364.121364,318.64819
0.278469711,0.279930378,0.00150000001,364.621634,318.858623
0.280379102,0.277912109,0.00150000001,365.05547,318.670628
0.278132891,0.284019843,0.00150000001,358.957661,319.164031
0.27901963,0.285222593,0.00350000011,353.942185,318.705104
0.277933643,0.278061997,0.00316752725,365.244383,318.462093
0.282168599,0.289436754,0.00272024138,379.106479,319.599302
0.277625298,0.284133551,0.00150000001,356.524668,319.165244
0.276866466,0.279751887,0.00150000001,365.451995,318.808587
0.276563957,0.27882293,0.00214694096,365.773794,318.58385
0.274241963,0.281844842,0.00150000001,365.782427,318.942397
0.27795165,0.286235443,0.00350000011,358.304172,318.75742
0.280110734,0.288730133,0.00350000011,367.800294,319.144694
0.274942339,0.279723841,0.00335919754,366.471056,318.584403
0.27542766,0.284215979,0.00350000011,357.265441,318.602614
0.279048202,0.288235074,0.00350000011,367.471893,319.002822
0.27891977,0.287968003,0.00150000001,355.981954,319.394028
0.274632502,0.284705153,0.00150000001,358.752742,319.143181
0.272268125,0.281556074,0.00150000001,367.027128,318.866526
0.278084426,0.288757542,0.00350000011,363.363166,319.006319
0.280282813,0.290484416,0.00212192637,383.936857,319.657364
0.276220956,0.286903395,0.00150000001,351.970782,319.303788
0.27995081,0.29066886,0.0028467871,378.273213,319.614396
0.278883213,0.290053928,0.00150000001,369.697793,319.550546
0.279773203,0.290595056,0.00150000001,378.103267,319.639389
0.271940109,0.283119833,0.00150000001,363.148703,318.98082
0.276316262,0.288297601,0.00350000011,357.982953,318.893331
0.270987054,0.281921221,0.00318802983,364.590365,318.706999
0.278131725,0.290296933,0.00150000001,369.136239,319.543318
0.271776012,0.283898341,0.00150000001,358.760378,319.022844
0.278400972,0.291529887,0.00323600841,378.398454,319.59141
0.27005183,0.282440785,0.00322971798,352.037497,318.722683
0.274615371,0.288579105,0.00350000011,350.898364,318.849078
0.275751566,0.289727879,0.00150000001,365.417701,319.445286
0.276708185,0.291245678,0.00350000011,366.94823,319.280117
0.273071532,0.289175052,0.00150000001,339.767373,319.357102
0.271122459,0.287692312,0.00350000011,327.56938,318.668946
0.274394539,0.290994908,0.00150000001,355.320332,319.488343
0.267584682,0.285024049,0.00350000011,292.6187,318.694567
0.269786664,0.287392383,0.00350000011,320.440212,318.634836
0.274568129,0.292271725,0.00350000011,380.478546,319.243423
0.269617284,0.28696716,0.00150000001,316.496956,319.108681
0.269722842,0.28891838,0.00350000011,329.037159,318.67698
0.27000525,0.289420064,0.00350000011,325.027805,318.716875
0.2718662,0.291722391,0.00350000011,363.203327,319.013177
0.269950306,0.289944181,0.00150000001,343.563939,319.270428
0.272291277,0.292507807,0.00150000001,367.292439,319.528568
0.273180385,0.293565566,0.00150000001,383.305358,319.628432
0.26507711,0.287623206,0.00350000011,329.24701,318.651514
0.271217618,0.293794082,0.00350000011,374.050142,319.207808
0.272410071,0.294858158,0.00283395112,381.776854,319.66731
0.267690319,0.291189081,0.00350000011,362.608807,318.725642
0.267753139,0.291294118,0.00150000001,369.60964,319.229014
0.271218221,0.294827628,0.00150000001,390.748636,319.638778
0.265036701,0.289182665,0.00350000011,336.711647,318.601161
0.268521143,0.29266693,0.00150000001,379.398372,319.371977
0.268064866,0.29291881,0.00150000001,385.497492,319.363186
0.268657643,0.294014364,0.00350000011,390.763252,319.069535
0.262015032,0.287598239,0.00350000011,327.582649,318.698231
0.270823542,0.29573956,0.00166689997,400.35249,319.735906
0.262838331,0.288696011,0.00150000001,326.774641,318.992054
0.266731476,0.292714592,0.00350000011,391.764156,318.790081
0.26804964,0.294524691,0.00350000011,402.029506,319.089283
0.26138946,0.288119673,0.00350000011,326.337462,318.676446
0.265986721,0.292980006,0.00350000011,402.482636,318.776106
0.265300477,0.292871967,0.00150000001,405.383149,319.240716
0.261044294,0.288138176,0.00150000001,325.769979,318.941957
0.26908902,0.296356271,0.00150000001,419.958534,319.678882
0.260982353,0.287479382,0.00164877675,327.220529,318.88181
0.265808655,0.294756063,0.00350000011,425.552834,318.968181
0.267274434,0.296325471,0.00150000001,432.622239,319.587848
0.266375782,0.295790052,0.00150000001,427.062654,319.544159
0.259595775,0.288249705,0.00166496534,326.944554,318.851684
0.258749342,0.28871995,0.0025653104,323.847057,318.736405
0.258496183,0.288860591,0.00217880594,317.603015,318.727487
0.261836579,0.292859546,0.00150000001,435.081515,319.152717
0.261389835,0.29309579,0.00150000001,441.532587,319.163318
0.265748125,0.297351921,0.00150000001,447.065312,319.64798
0.262668842,0.295416433,0.00350000011,466.910836,318.901274
0.25769723,0.28966214,0.00150000001,325.119355,318.924008
0.257394415,0.289671578,0.00350000011,375.003088,318.571265
0.260861357,0.295868783,0.00350000011,479.274269,318.915324
0.259829476,0.294955528,0.00350000011,474.78024,318.790656
0.260309418,0.295781255,0.00150000001,481.821551,319.424729
0.261620368,0.297582568,0.00350000011,483.858777,319.170682
0.254975334,0.290765217,0.00150000001,456.502697,319.02184
0.263781909,0.299651584,0.00270721248,489.498378,319.748636
0.25497995,0.291290585,0.00150000001,462.950653,319.052816
0.258521951,0.295692472,0.00350000011,488.126977,318.856307
0.260805286,0.297666854,0.00350000011,491.151967,319.153728
0.261750988,0.298542606,0.00350000011,488.847051,319.324842
0.256350723,0.293035178,0.00150000001,486.336284,319.15545
0.257965738,0.294479504,0.00150000001,479.591339,319.292667
0.254943162,0.287611628,0.00150000001,451.597007,318.853263
0.262298183,0.300475871,0.00244100335,504.949058,319.801285
0.26102298,0.29943004,0.00150000001,497.475184,319.762262
0.253142321,0.28868439,0.00350000011,480.117546,318.509789
0.253131458,0.288165853,0.00150000001,483.45227,318.912748
0.254329125,0.287096866,0.00216665333,456.343756,318.750845
0.253915485,0.293828979,0.00350000011,494.501076,318.685743
0.251310198,0.291300324,0.00150000001,487.228325,319.108234
0.260631504,0.300206289,0.00150000001,501.389541,319.815243
0.251470757,0.288443681,0.00350000011,501.575791,318.465328
0.249980336,0.290512381,0.00350000011,508.376858,318.507861
0.259209806,0.299670109,0.00350000011,506.554235,319.425566
