x_m,y_m,z_m,temperature_K
0.274657354,0.288124232,0.00499999989,318.825771
0.283715349,0.27950888,0.00499999989,318.325209
0.268070872,0.296639827,0.00499999989,319.435031
0.290775782,0.271246483,0.00499999989,317.485511
0.284508754,0.277443494,0.00499999989,318.180981
0.289836395,0.268230802,0.00499999989,317.142294
0.29100663,0.265294682,0.00499999989,316.516549
0.291173197,0.264578563,0.00499999989,316.405306
0.293340001,0.260951806,0.00499999989,315.833916
0.311162625,0.237322182,0.00499999989,315.844213
0.310677289,0.238931239,0.00499999989,315.931579
0.284271272,0.277302682,0.00499999989,318.200687
0.288060958,0.274709741,0.00499999989,317.892441
0.292579031,0.261850204,0.00499999989,315.925666
0.296612495,0.256204805,0.00499999989,315.969037
0.2965339,0.256352891,0.00499999989,315.969037
0.293479814,0.258967628,0.00499999989,315.784291
0.310354496,0.23826892,0.00499999989,315.973686
0.306797659,0.243327888,0.00499999989,316.257016
0.308669128,0.241246873,0.00499999989,316.154941
0.264669389,0.298196876,0.00499999989,319.426272
0.266423203,0.29646618,0.00499999989,319.274242
0.277423745,0.282957239,0.00499999989,318.57687
0.28203111,0.279158191,0.00499999989,318.336924
0.287291397,0.274422369,0.00499999989,317.893281
0.275045939,0.284388658,0.00499999989,318.633171
0.277558397,0.282021074,0.00499999989,318.538662
0.270263979,0.290107219,0.00499999989,318.797726
0.291434952,0.261824429,0.00499999989,315.961271
0.300126189,0.242627242,0.00499999989,316.455586
0.310673348,0.23603256,0.00499999989,315.883291
0.263411033,0.298621717,0.00499999989,319.422268
0.276766286,0.282559279,0.00499999989,318.55883
0.278008451,0.28182874,0.00499999989,318.520103
0.274554443,0.283949423,0.00499999989,318.613533
0.282058161,0.277306213,0.00499999989,318.27154
0.262047801,0.299201373,0.00499999989,319.487695
0.263779063,0.296697212,0.00499999989,319.148994
0.259808066,0.301353886,0.00499999989,319.736761
0.272311483,0.286292928,0.00499999989,318.667552
0.284553772,0.274784616,0.00499999989,318.035004
0.269180903,0.290559546,0.00499999989,318.762531
0.265654843,0.293451157,0.00499999989,318.844355
